designation,motorPower,motorSpeed,poles,frame,shaft,keywaywidth,keywayheight,shaftkeydepth,weight,shaft_height,full_load_torque,lock_rotor_torque,break_torque,mounting
90kW_1485rpm_280S/M_FM,90,1485,4,280S/M,80,,,,788,280,579.0,2.2,2.5,
110kW_1485rpm_280S/M_FM,110,1485,4,280S/M,80,,,,800,280,707.0,2.5,2.9,
132kW_1490rpm_315S/M_FM,132,1490,4,315S/M,85,,,,1066,315,846.0,2.5,2.7,
160kW_1490rpm_315S/M_FM,160,1490,4,315S/M,85,,,,1171,315,1026.0,2.6,2.7,
185kW_1490rpm_315S/M_FM,185,1490,4,315S/M,90,,,,1234,315,1186.0,2.7,2.9,
200kW_1485rpm_315S/M_FM,200,1485,4,315S/M,90,,,,1332,315,1286.0,2.4,2.4,
220kW_1490rpm_355M/L_FM,220,1490,4,355M/L,100,,,,1510,355,1410.0,2.2,2.5,
250kW_1490rpm_355M/L_FM,250,1490,4,355M/L,100,,,,1550,315,1602.0,2.3,2.5,
260kW_1490rpm_355M/L_FM,260,1490,4,355M/L,100,,,,1550,355,1666.0,2.3,2.5,
280kW_1490rpm_355M/L_FM,280,1490,4,355M/L,100,,,,1600,315,1795.0,2.4,2.6,
300kW_1490rpm_355M/L_FM,300,1490,4,355M/L,100,,,,1650,315,1923.0,2.3,2.5,
315kW_1491rpm_355M/L_FM,315,1491,4,355M/L,100,,,,1750,355,2018.0,2.9,2.8,
330kW_1490rpm_355M/L_FM,330,1490,4,355M/L,100,,,,1810,355,2115.0,2.5,2.5,
355kW_1490rpm_355M/L_FM,355,1490,4,355M/L,100,,,,1878,355,2275.0,2.4,2.5,
400kW_1490rpm_355A/B_FM,400,1490,4,355A/B,100,,,,2089,355,2564.0,2.6,2.9,
450kW_1490rpm_355A/B_FM,450,1490,4,355A/B,110,,,,2400,355,2884.0,2.8,2.8,
500kW_1490rpm_355A/B_FM,500,1490,4,355A/B,125,,,,2600,355,3205.0,2.8,2.8,
0.25kW_955rpm_80_FM,0.25,955,6,80,19,,,,12,80,2.5,1.7,2.4,
0.37kW_925rpm_80_FM,0.37,925,6,80,19,,,,14.3,80,3.82,1.9,2.1,
0.55kW_945rpm_*L80_FM,0.55,945,6,*L80,19,,,,18.8,80,5.56,2.9,3.1,
0.75kW_950rpm_*L90S_FM,0.75,950,6,*L90S,24,,,,24.2,90,7.54,2.5,2.8,
1.1kW_945rpm_*L90L_FM,1.1,945,6,*L90L,24,,,,28.5,90,11.1,2.5,2.8,
1.5kW_955rpm_100L_FM,1.5,955,6,100L,28,,,,33.5,100,15.0,2.7,2.7,
2.2kW_960rpm_112M_FM,2.2,960,6,112M,28,,,,46,112,21.9,2.5,2.6,
3kW_970rpm_132S_FM,3,970,6,132S,38,,,,61.5,132,29.5,1.8,2.6,
4kW_965rpm_132M_FM,4,965,6,132M,38,,,,69.8,132,39.6,1.9,2.7,
5.5kW_965rpm_132M/L_FM,5.5,965,6,132M/L,38,,,,78,132,54.4,2.5,2.8,
7.5kW_975rpm_160M_FM,7.5,975,6,160M,42,,,,118,160,73.5,2.2,2.7,
11kW_975rpm_160L_FM,11,975,6,160L,42,,,,143,160,108.0,2.7,2.9,
15kW_975rpm_180L_FM,15,975,6,180L,48,,,,181,200,147.0,2.6,3.2,
18.5kW_980rpm_200L_FM,18.5,980,6,200L,55,,,,222,200,180.0,2.4,2.8,
22kW_980rpm_200L_FM,22,980,6,200L,55,,,,242,200,214.0,2.4,2.8,
30kW_980rpm_225S/M_FM,30,980,6,225S/M,60,,,,404,225,292.0,2.4,2.7,
37kW_985rpm_250S/M_FM,37,985,6,250S/M,70,,,,497,250,359.0,2.4,2.7,
45kW_985rpm_250S/M_FM,45,985,6,250S/M,70,,,,490,250,436.0,2.8,2.8,
55kW_990rpm_280S/M_FM,55,990,6,280S/M,80,,,,721,280,531.0,2.3,2.8,
75kW_990rpm_280S/M_FM,75,990,6,280S/M,80,,,,725,280,723.0,2.7,3.2,
90kW_990rpm_315S/M_FM,90,990,6,315S/M,85,,,,990,315,868.0,2.2,2.5,
110kW_990rpm_315S/M_FM,110,990,6,315S/M,85,,,,1040,315,1061.0,2.1,2.4,
132kW_990rpm_315S/M_FM,132,990,6,315S/M,85,,,,1100,315,1273.0,2.6,2.7,
160kW_993rpm_355M/L_FM,160,993,6,355M/L,100,,,,1500,355,1539.0,1.8,2.1,
185kW_994rpm_355M/L_FM,185,994,6,355M/L,100,,,,1550,355,1777.0,2.1,2.4,
200kW_993rpm_355M/L_FM,200,993,6,355M/L,100,,,,1676,355,1923.0,2.1,2.3,
220kW_995rpm_355M/L_FM,220,995,6,355M/L,100,,,,1857,355,2112.0,2.0,2.2,
250kW_993rpm_355M/L_FM,250,993,6,355M/L,100,,,,1830,355,2404.0,2.2,2.3,
280kW_994rpm_355M/L_FM,280,994,6,355M/L,100,,,,1970,355,2690.0,2.3,2.5,
300kW_992rpm_355M/L_FM,300,992,6,355M/L,100,,,,2493,355,2888.0,1.9,2.0,
315kW_990rpm_355M/L_FM,315,990,6,355M/L,100,,,,2493,355,3039.0,2.1,2.1,
355kW_990rpm_355A/B_FM,355,990,6,355A/B,100,,,,2200,355,3424.0,2.0,2.3,
400kW_990rpm_355A/B_FM,400,990,6,355A/B,100,,,,2346,355,3859.0,2.0,2.3,
0.37kW_700rpm_90S_FM,0.37,700,8,90S,24,,,,19,90,5.05,2.0,2.3,
0.55kW_690rpm_90L_FM,0.55,690,8,90L,24,,,,23,90,7.61,1.9,2.2,
0.75kW_710rpm_100L_FM,0.75,710,8,100L,28,,,,30.5,100,10.1,1.9,2.3,
1.1kW_710rpm_100L_FM,1.1,710,8,100L,28,,,,33,100,14.8,1.9,2.0,
1.5kW_705rpm_112M_FM,1.5,705,8,112M,28,,,,43,112,20.3,2.5,2.8,
2.2kW_710rpm_132S_FM,2.2,710,8,132S,38,,,,69,132,29.6,2.3,2.5,
3kW_710rpm_132M_FM,3,710,8,132M,38,,,,75,132,40.4,2.4,2.6,
4kW_730rpm_160M_FM,4,730,8,160M,42,,,,114,160,52.3,2.1,2.3,
5.5kW_725rpm_160M_FM,5.5,725,8,160M,42,,,,123,160,72.4,2.1,2.3,
7.5kW_731rpm_160L_FM,7.5,731,8,160L,42,,,,145,160,98.0,2.2,2.5,
11kW_730rpm_180L_FM,11,730,8,180L,48,,,,185,180,144.0,2.3,2.7,
15kW_730rpm_200L_FM,15,730,8,200L,55,,,,220,200,196.0,1.9,2.1,
18.5kW_735rpm_225S/M_FM,18.5,735,8,225S/M,60,,,,377,225,240.0,1.7,2.5,
22kW_735rpm_225S/M_FM,22,735,8,225S/M,60,,,,402,225,286.0,2.1,2.7,
30kW_730rpm_250S/M_FM,30,730,8,250S/M,70,,,,490,250,392.0,1.9,2.8,
37kW_730rpm_250S/M_FM,37,730,8,250S/M,70,,,,550,250,484.0,2.3,3.0,
45kW_740rpm_280S/M_FM,45,740,8,280S/M,80,,,,720,280,581.0,1.8,2.2,
55kW_740rpm_280S/M_FM,55,740,8,280S/M,80,,,,812,280,710.0,2.0,2.1,
75kW_740rpm_315S/M_FM,75,740,8,315S/M,85,,,,1025,315,968.0,1.8,2.2,
90kW_740rpm_315S/M_FM,90,740,8,315S/M,85,,,,1100,315,1161.0,1.9,2.2,
110kW_740rpm_315S/M_FM,110,740,8,315S/M,85,,,,1360,315,1420.0,1.9,2.2,
132kW_745rpm_355M/L_FM,132,745,8,355M/L,100,,,,1587,355,1692.0,1.3,2.3,
160kW_745rpm_355M/L_FM,160,745,8,355M/L,100,,,,1747,355,2051.0,1.3,2.3,
185kW_745rpm_355M/L_FM,185,745,8,355M/L,100,,,,1819,355,2371.0,2.0,2.9,
200kW_745rpm_355M/L_FM,200,745,8,355M/L,100,,,,1891,355,2564.0,1.3,2.3,
220kW_744rpm_355M/L_FM,220,744,8,355M/L,100,,,,2020,355,2824.0,1.8,2.8,
250kW_744rpm_355A/B_FM,250,744,8,355A/B,100,,,,2092,355,3209.0,1.6,2.5,
280kW_745rpm_355A/B_FM,280,745,8,355A/B,100,,,,2279,355,3589.0,2.2,3.1,
