designation,profile,h,b,c,d,tw,tf,r1,r2,b1,Beta,A,Ix,Zx,rx,Iy,Zy,ry,Iu,Zu,ru,Iv,Zv,rv,J,Cw,Zplx,Zply,h_tf,hw,ac,ax,ay,alpha,id,unit_mass
RHS300x150x6.0,RHS,300,150,-,-,6.0,-,-,-,-,-,5130.00,60000000.00,400000.00,108.00,20600000.00,275000.00,63.40,-,-,-,-,-,-,50100.00,-,495000.00,-,-,-,-,-,-,-,55e0f7e89aad4dadad4732692d7968b5,39.50
RHS300x150x8.0,RHS,300,150,-,-,8.0,-,-,-,-,-,6720.00,76800000.00,512000.00,107.00,26200000.00,350000.00,62.50,-,-,-,-,-,-,64900.00,-,640000.00,-,-,-,-,-,-,-,0d31532ef5264c1a9b29272f523ffd18,52.30
RHS300x150x10.0,RHS,300,150,-,-,10.0,-,-,-,-,-,8260.00,92100000.00,614000.00,106.00,31300000.00,417000.00,61.50,-,-,-,-,-,-,78800.00,-,776000.00,-,-,-,-,-,-,-,4877b4f3b19a4901b752cdb0ae806b1c,64.90
RHS320x220x4.5,RHS,320,220,-,-,4.5,-,-,-,-,-,4710.00,70100000.00,438000.00,122.00,39700000.00,361000.00,91.80,-,-,-,-,-,-,79400.00,-,519000.00,-,-,-,-,-,-,-,794b70395f4046a788b269a390a59587,35.50
RHS320x220x6.0,RHS,320,220,-,-,6.0,-,-,-,-,-,6210.00,91200000.00,570000.00,121.00,51500000.00,468000.00,91.00,-,-,-,-,-,-,104000.00,-,679000.00,-,-,-,-,-,-,-,681075ada8b54ce2919556372cee5685,47.10
RHS320x220x8.0,RHS,320,220,-,-,8.0,-,-,-,-,-,8160.00,118000000.00,735000.00,120.00,66300000.00,602000.00,90.10,-,-,-,-,-,-,136000.00,-,884000.00,-,-,-,-,-,-,-,29a4dc55807341469f712e1934089298,62.30
RHS320x220x10.0,RHS,320,220,-,-,10.0,-,-,-,-,-,10100.00,142000000.00,888000.00,119.00,79900000.00,726000.00,89.10,-,-,-,-,-,-,167000.00,-,1080000.00,-,-,-,-,-,-,-,f7e6a3a593944d04bcbfd1ab6cbb1425,77.40
RHS340x200x4.5,RHS,340,200,-,-,4.5,-,-,-,-,-,4710.00,75900000.00,446000.00,127.00,33800000.00,338000.00,84.70,-,-,-,-,-,-,73900.00,-,537000.00,-,-,-,-,-,-,-,a04d6f5f573d49d0bb487593fc633059,35.50
RHS340x200x6.0,RHS,340,200,-,-,6.0,-,-,-,-,-,6210.00,98700000.00,581000.00,126.00,43800000.00,438000.00,84.00,-,-,-,-,-,-,97000.00,-,703000.00,-,-,-,-,-,-,-,3201ab47715c4fa98073f1a199063481,47.10
RHS340x200x8.0,RHS,340,200,-,-,8.0,-,-,-,-,-,8160.00,127000000.00,749000.00,125.00,56300000.00,563000.00,83.10,-,-,-,-,-,-,127000.00,-,914000.00,-,-,-,-,-,-,-,1d66a2496aec43beb86bc89fa51429ca,62.30
RHS340x200x10.0,RHS,340,200,-,-,10.0,-,-,-,-,-,10100.00,154000000.00,905000.00,124.00,67800000.00,678000.00,82.10,-,-,-,-,-,-,155000.00,-,1110000.00,-,-,-,-,-,-,-,8ba02fa7d09142009bb5548c57904ba3,77.40
CFL75x50x20x2.0,CFL,75,50,20,-,2.0,-,-,-,-,-,400.00,360000.00,9590.00,30.00,150000.00,5120.00,19.30,-,-,-,-,-,-,534.00,-,-,-,-,-,-,-,20.80,-,ae0c482c8b334baa9a5f5e8a119a90c7,3.14
CFL75x50x20x2.5,CFL,75,50,20,-,2.5,-,-,-,-,-,491.00,433000.00,11500.00,29.70,178000.00,6100.00,19.10,-,-,-,-,-,-,1020.00,-,-,-,-,-,-,-,20.80,-,4a496e82791b422985f73d0ea0fc2e06,3.85
CFL75x50x20x3.0,CFL,75,50,20,-,3.0,-,-,-,-,-,578.00,500000.00,13300.00,29.40,204000.00,6980.00,18.80,-,-,-,-,-,-,1730.00,-,-,-,-,-,-,-,20.70,-,8823c77a98e54f53b64d94edcd37e0a3,4.54
CFL100x50x20x2.0,CFL,100,50,20,-,2.0,-,-,-,-,-,450.00,705000.00,14100.00,39.60,167000.00,5320.00,19.30,-,-,-,-,-,-,600.00,-,-,-,-,-,-,-,18.60,-,6ec0779522284349a1fe9e3fec9160cc,3.53
CFL100x50x20x2.5,CFL,100,50,20,-,2.5,-,-,-,-,-,554.00,854000.00,17100.00,39.30,200000.00,6350.00,19.00,-,-,-,-,-,-,1150.00,-,-,-,-,-,-,-,18.60,-,7ca986883d174340b590a23db66b6dea,4.35
CFL100x50x20x3.0,CFL,100,50,20,-,3.0,-,-,-,-,-,653.00,991000.00,19800.00,39.00,229000.00,7270.00,18.70,-,-,-,-,-,-,1960.00,-,-,-,-,-,-,-,18.50,-,014fe9ef3a3c439880c83a2fab3e8077,5.13
CFL100x75x20x2.0,CFL,100,75,20,-,2.0,-,-,-,-,-,550.00,945000.00,18900.00,41.40,439000.00,9650.00,28.20,-,-,-,-,-,-,734.00,-,-,-,-,-,-,-,29.50,-,f8659ad3e2cd46f489a13d9e2eaa8697,4.32
CFL100x75x20x2.5,CFL,100,75,20,-,2.5,-,-,-,-,-,679.00,1150000.00,23000.00,41.20,530000.00,11600.00,27.90,-,-,-,-,-,-,1410.00,-,-,-,-,-,-,-,29.50,-,5d0df2b5727d47cf9b2afe27559471d7,5.33
CFL100x75x20x3.0,CFL,100,75,20,-,3.0,-,-,-,-,-,803.00,1340000.00,26900.00,40.90,614000.00,13500.00,27.70,-,-,-,-,-,-,2410.00,-,-,-,-,-,-,-,29.40,-,246f2ec48cd24fdeaf1524a2f7809ce0,6.30
CFL125x50x20x2.5,CFL,125,50,20,-,2.5,-,-,-,-,-,616.00,1450000.00,23200.00,48.50,216000.00,6520.00,18.70,-,-,-,-,-,-,1280.00,-,-,-,-,-,-,-,16.80,-,96155f395e3a40d9992ed8faf9eb2d27,4.84
CFL125x50x20x3.0,CFL,125,50,20,-,3.0,-,-,-,-,-,728.00,1690000.00,27000.00,48.10,248000.00,7470.00,18.50,-,-,-,-,-,-,2180.00,-,-,-,-,-,-,-,16.80,-,8d3416105f524b868b23c2912b3ca211,5.72
CFL125x65x20x2.0,CFL,125,65,20,-,2.0,-,-,-,-,-,560.00,1420000.00,22700.00,50.30,338000.00,8030.00,24.60,-,-,-,-,-,-,747.00,-,-,-,-,-,-,-,22.90,-,c82d7b15f77647519dba16796d734290,4.40
CFL125x65x20x2.5,CFL,125,65,20,-,2.5,-,-,-,-,-,691.00,1730000.00,27700.00,50.00,407000.00,9670.00,24.30,-,-,-,-,-,-,1440.00,-,-,-,-,-,-,-,22.90,-,bd3961080ed04e2d9440bcb355e239eb,5.42
CFL125x65x20x3.0,CFL,125,65,20,-,3.0,-,-,-,-,-,818.00,2020000.00,32300.00,49.70,471000.00,11200.00,24.00,-,-,-,-,-,-,2450.00,-,-,-,-,-,-,-,22.80,-,1975ea1c3eff4c57b1df6dedafe00eba,6.42
CFL125x75x20x2.0,CFL,125,75,20,-,2.0,-,-,-,-,-,600.00,1570000.00,25100.00,51.10,476000.00,9950.00,28.20,-,-,-,-,-,-,800.00,-,-,-,-,-,-,-,27.20,-,dee459131bcc45e5939f6792eab4695e,4.71
CFL125x75x20x2.5,CFL,125,75,20,-,2.5,-,-,-,-,-,741.00,1920000.00,30700.00,50.90,575000.00,12000.00,27.90,-,-,-,-,-,-,1540.00,-,-,-,-,-,-,-,27.10,-,eb9a79e24ea24f94bbc6326c6170a2f8,5.82
CFL125x75x20x3.0,CFL,125,75,20,-,3.0,-,-,-,-,-,878.00,2240000.00,35900.00,50.60,668000.00,13900.00,27.60,-,-,-,-,-,-,2630.00,-,-,-,-,-,-,-,27.00,-,abf7760dfb5d4b6e88e0c470272e156c,6.89
CFL150x50x20x2.0,CFL,150,50,20,-,2.0,-,-,-,-,-,550.00,1830000.00,24500.00,57.70,192000.00,5560.00,18.70,-,-,-,-,-,-,734.00,-,-,-,-,-,-,-,15.40,-,3ef8e3f0e48b4493bf11ae9214286e0f,4.32
CFL150x50x20x2.5,CFL,150,50,20,-,2.5,-,-,-,-,-,679.00,2230000.00,29800.00,57.40,230000.00,6650.00,18.40,-,-,-,-,-,-,1410.00,-,-,-,-,-,-,-,15.40,-,9deecd2f411c41dbbd66352e94e2a8b5,5.33
CFL150x50x20x3.0,CFL,150,50,20,-,3.0,-,-,-,-,-,803.00,2610000.00,34800.00,57.00,264000.00,7620.00,18.10,-,-,-,-,-,-,2410.00,-,-,-,-,-,-,-,15.30,-,35e59f48cf554a8298ca661e3984cd42,6.30
CFL150x65x20x2.0,CFL,150,65,20,-,2.0,-,-,-,-,-,610.00,2160000.00,28800.00,59.50,360000.00,8210.00,24.30,-,-,-,-,-,-,814.00,-,-,-,-,-,-,-,21.10,-,7e19871306754cd280eb538d53e0a21f,4.79
CFL150x65x20x2.5,CFL,150,65,20,-,2.5,-,-,-,-,-,754.00,2640000.00,35200.00,59.20,434000.00,9880.00,24.00,-,-,-,-,-,-,1570.00,-,-,-,-,-,-,-,21.10,-,8b0512e66aa242dabe435db8d98f4aeb,5.92
CFL150x65x20x3.0,CFL,150,65,20,-,3.0,-,-,-,-,-,893.00,3100000.00,41300.00,58.90,502000.00,11400.00,23.70,-,-,-,-,-,-,2680.00,-,-,-,-,-,-,-,21.00,-,741f4740717049b0aa3e6d3fb1668f52,7.01
CFL150x65x20x3.5,CFL,150,65,20,-,3.5,-,-,-,-,-,1030.00,3530000.00,47000.00,58.50,564000.00,12800.00,23.40,-,-,-,-,-,-,4200.00,-,-,-,-,-,-,-,21.00,-,15014d92bc6b4c04bf05c681db2989d3,8.08
CFL150x75x20x2.0,CFL,150,75,20,-,2.0,-,-,-,-,-,650.00,2380000.00,31800.00,60.50,507000.00,10200.00,27.90,-,-,-,-,-,-,867.00,-,-,-,-,-,-,-,25.20,-,7d1fef2d5a0d4d9a84115359277ef98d,5.10
CFL150x75x20x2.5,CFL,150,75,20,-,2.5,-,-,-,-,-,804.00,2910000.00,38800.00,60.20,614000.00,12300.00,27.60,-,-,-,-,-,-,1670.00,-,-,-,-,-,-,-,25.10,-,9e738d5187cd45beb2451c6e61ae39e5,6.31
CFL150x75x20x3.0,CFL,150,75,20,-,3.0,-,-,-,-,-,953.00,3420000.00,45600.00,59.90,713000.00,14300.00,27.30,-,-,-,-,-,-,2860.00,-,-,-,-,-,-,-,25.00,-,b569a9ee16574c87a2b04da1912eeeb1,7.48
CFL150x75x20x3.5,CFL,150,75,20,-,3.5,-,-,-,-,-,1100.00,3900000.00,52000.00,59.60,804000.00,16100.00,27.00,-,-,-,-,-,-,4490.00,-,-,-,-,-,-,-,25.00,-,265c550ef2c542228bd96ddfd5b40df7,8.63
CFL175x50x20x2.0,CFL,175,50,20,-,2.0,-,-,-,-,-,600.00,2650000.00,30300.00,66.40,202000.00,5640.00,18.30,-,-,-,-,-,-,800.00,-,-,-,-,-,-,-,14.20,-,f66e4d0439a0456caaff1758206da9ef,4.71
CFL175x50x20x2.5,CFL,175,50,20,-,2.5,-,-,-,-,-,741.00,3230000.00,36900.00,66.00,242000.00,6750.00,18.10,-,-,-,-,-,-,1540.00,-,-,-,-,-,-,-,14.20,-,97abd11b3560486abcc9c9038f53f458,5.82
CFL175x50x20x3.0,CFL,175,50,20,-,3.0,-,-,-,-,-,878.00,3780000.00,43200.00,65.60,277000.00,7740.00,17.80,-,-,-,-,-,-,2630.00,-,-,-,-,-,-,-,14.20,-,d7f6a1d5891441e188cd7b79baf8ee6b,6.89
CFL175x50x20x3.5,CFL,175,50,20,-,3.5,-,-,-,-,-,1010.00,4300000.00,49200.00,65.20,309000.00,8630.00,17.50,-,-,-,-,-,-,4130.00,-,-,-,-,-,-,-,14.10,-,a464667f1be7431089d5853fddd96985,7.94
CFL175x65x20x2.0,CFL,175,65,20,-,2.0,-,-,-,-,-,660.00,3100000.00,35400.00,68.50,379000.00,8340.00,23.90,-,-,-,-,-,-,880.00,-,-,-,-,-,-,-,19.60,-,7d85876889cf40c5888eea8bf269a84f,5.18
CFL175x65x20x2.5,CFL,175,65,20,-,2.5,-,-,-,-,-,816.00,3790000.00,43300.00,68.10,457000.00,10100.00,23.70,-,-,-,-,-,-,1700.00,-,-,-,-,-,-,-,19.60,-,1facf0319f0842eb8c31f36af8a86989,6.41
CFL175x65x20x3.0,CFL,175,65,20,-,3.0,-,-,-,-,-,968.00,4450000.00,50800.00,67.80,528000.00,11600.00,23.40,-,-,-,-,-,-,2900.00,-,-,-,-,-,-,-,19.50,-,2d79b1287fd44466a28cc78990130d71,7.60
CFL175x65x20x3.5,CFL,175,65,20,-,3.5,-,-,-,-,-,1120.00,5080000.00,58000.00,67.40,594000.00,13000.00,23.10,-,-,-,-,-,-,4560.00,-,-,-,-,-,-,-,19.50,-,d405896fc7954f78892e740e32a90a60,8.76
CFL175x65x20x4.5,CFL,175,65,20,-,4.5,-,-,-,-,-,1400.00,6240000.00,71300.00,66.70,707000.00,15500.00,22.50,-,-,-,-,-,-,9460.00,-,-,-,-,-,-,-,19.40,-,08a29e3f05ea4a09845752d0c3d6514a,11.00
CFL175x75x20x2.5,CFL,175,75,20,-,2.5,-,-,-,-,-,866.00,4160000.00,47600.00,69.30,647000.00,12500.00,27.30,-,-,-,-,-,-,1800.00,-,-,-,-,-,-,-,23.40,-,8b97eefe0791493ab328e89f1b11affa,6.80
CFL175x75x20x3.0,CFL,175,75,20,-,3.0,-,-,-,-,-,1030.00,4890000.00,55900.00,69.00,751000.00,14500.00,27.00,-,-,-,-,-,-,3080.00,-,-,-,-,-,-,-,23.30,-,d8362662bdf64e788920027c4855bc7d,8.07
CFL175x75x20x3.5,CFL,175,75,20,-,3.5,-,-,-,-,-,1190.00,5590000.00,63900.00,68.60,848000.00,16400.00,26.70,-,-,-,-,-,-,4840.00,-,-,-,-,-,-,-,23.30,-,1d091bb208cd4cb2ad4101774c2acb2f,9.31
CFL175x75x20x4.5,CFL,175,75,20,-,4.5,-,-,-,-,-,1490.00,6890000.00,78700.00,68.00,1020000.00,19600.00,26.10,-,-,-,-,-,-,10100.00,-,-,-,-,-,-,-,23.10,-,323c99d3c326495d9d257d596267ca74,11.70
CFL200x75x20x2.5,CFL,200,75,20,-,2.5,-,-,-,-,-,929.00,5680000.00,56800.00,78.20,676000.00,12700.00,27.00,-,-,-,-,-,-,1930.00,-,-,-,-,-,-,-,21.90,-,7989bad668e8463b9ea304ba06d64668,7.29
CFL200x75x20x3.0,CFL,200,75,20,-,3.0,-,-,-,-,-,1100.00,6690000.00,66900.00,77.90,785000.00,14800.00,26.70,-,-,-,-,-,-,3310.00,-,-,-,-,-,-,-,21.80,-,cb3db34b4fba468a9e055d726b1b861e,8.66
CFL200x75x20x3.5,CFL,200,75,20,-,3.5,-,-,-,-,-,1270.00,7650000.00,76500.00,77.50,886000.00,16600.00,26.40,-,-,-,-,-,-,5200.00,-,-,-,-,-,-,-,21.80,-,64e7ff9428ed4a95a54aac92ac078b6c,10.00
CFL200x75x20x4.5,CFL,200,75,20,-,4.5,-,-,-,-,-,1600.00,9450000.00,94500.00,76.80,1060000.00,19900.00,25.70,-,-,-,-,-,-,10800.00,-,-,-,-,-,-,-,21.70,-,a24fb80d11e444139abd0129f9e373d8,12.60
CFL200x100x20x2.5,CFL,200,100,20,-,2.5,-,-,-,-,-,1050.00,6900000.00,69000.00,80.90,1370000.00,20000.00,36.00,-,-,-,-,-,-,2100.00,-,-,-,-,-,-,-,31.50,-,8e7586d8449e45c698d2138f78b9859a,8.27
CFL200x100x20x3.0,CFL,200,100,20,-,3.0,-,-,-,-,-,1250.00,8140000.00,81400.00,80.60,1600000.00,23300.00,35.70,-,-,-,-,-,-,3760.00,-,-,-,-,-,-,-,31.40,-,ca989275a62e48bdb7a6eb08c3fead05,9.84
CFL200x100x20x3.5,CFL,200,100,20,-,3.5,-,-,-,-,-,1450.00,9340000.00,93400.00,80.30,1820000.00,26500.00,35.40,-,-,-,-,-,-,5920.00,-,-,-,-,-,-,-,31.40,-,3cc81a2ed16d4157873a0ccd030e9884,11.40
CFL200x100x20x4.5,CFL,200,100,20,-,4.5,-,-,-,-,-,1830.00,11600000.00,116000.00,79.60,2210000.00,32100.00,34.70,-,-,-,-,-,-,12300.00,-,-,-,-,-,-,-,31.20,-,72ec34a262ea4c6382a6d436548cf686,14.40
CFL225x75x20x2.5,CFL,225,75,20,-,2.5,-,-,-,-,-,991.00,7490000.00,66600.00,86.90,701000.00,12900.00,26.60,-,-,-,-,-,-,2060.00,-,-,-,-,-,-,-,20.60,-,b277bc1be68444a78c4acab24638a98a,7.78
CFL225x75x20x3.0,CFL,225,75,20,-,3.0,-,-,-,-,-,1180.00,8830000.00,78400.00,86.60,814000.00,14900.00,26.30,-,-,-,-,-,-,3530.00,-,-,-,-,-,-,-,20.50,-,c559075e9c5548febff7916afd114883,9.25
CFL225x75x20x3.5,CFL,225,75,20,-,3.5,-,-,-,-,-,1360.00,10100000.00,89900.00,86.20,919000.00,16900.00,26.00,-,-,-,-,-,-,5560.00,-,-,-,-,-,-,-,20.50,-,290721f4793c4a6d89422f895d23fe22,10.70
CFL225x75x20x4.5,CFL,225,75,20,-,4.5,-,-,-,-,-,1720.00,12500000.00,111000.00,85.40,1100000.00,20200.00,25.30,-,-,-,-,-,-,11600.00,-,-,-,-,-,-,-,20.40,-,f4a66872483d4366804aa869fb4c92ff,13.50
CFL225x100x20x2.5,CFL,225,100,20,-,2.5,-,-,-,-,-,1120.00,9040000.00,80300.00,90.00,1420000.00,20300.00,35.70,-,-,-,-,-,-,2330.00,-,-,-,-,-,-,-,29.80,-,a138e91a68294b5dbbc3e4cc217db7f5,8.76
CFL225x100x20x3.0,CFL,225,100,20,-,3.0,-,-,-,-,-,1330.00,10700000.00,94900.00,89.60,1660000.00,23700.00,35.40,-,-,-,-,-,-,3980.00,-,-,-,-,-,-,-,29.70,-,38ff4af82138407c94cd2bcc15378b04,10.40
CFL225x100x20x3.5,CFL,225,100,20,-,3.5,-,-,-,-,-,1540.00,12300000.00,109000.00,89.30,1890000.00,26800.00,35.10,-,-,-,-,-,-,6270.00,-,-,-,-,-,-,-,29.70,-,05f6d0616a6e470080e4d7423ee3d411,12.10
CFL225x100x20x4.5,CFL,225,100,20,-,4.5,-,-,-,-,-,1940.00,15200000.00,136000.00,88.60,2300000.00,32600.00,34.40,-,-,-,-,-,-,13100.00,-,-,-,-,-,-,-,29.50,-,e9045d2ea10f4128bd0609b5662f1e22,15.20
CFL250x65x20x2.0,CFL,250,65,20,-,2.0,-,-,-,-,-,810.00,7200000.00,57600.00,94.30,421000.00,8620.00,22.80,-,-,-,-,-,-,1080.00,-,-,-,-,-,-,-,16.20,-,f8268b6e7caf41a8830cf41e515389d8,6.36
CFL250x65x20x2.5,CFL,250,65,20,-,2.5,-,-,-,-,-,1000.00,8840000.00,70700.00,93.90,508000.00,10400.00,22.50,-,-,-,-,-,-,2090.00,-,-,-,-,-,-,-,16.20,-,c9a9f94980f74fadb36ba8a14d5dd1dd,7.88
CFL250x65x20x3.0,CFL,250,65,20,-,3.0,-,-,-,-,-,1190.00,10400000.00,83300.00,93.40,588000.00,12000.00,22.20,-,-,-,-,-,-,3580.00,-,-,-,-,-,-,-,16.10,-,a305078b2aac4ab09949d8e59c88b932,9.37
CFL250x75x20x2.5,CFL,250,75,20,-,2.5,-,-,-,-,-,1050.00,9610000.00,76900.00,95.50,723000.00,13000.00,26.20,-,-,-,-,-,-,2190.00,-,-,-,-,-,-,-,19.40,-,2e302bba61c349398f996e4e379f4f8b,8.27
CFL250x75x20x3.0,CFL,250,75,20,-,3.0,-,-,-,-,-,1250.00,11300000.00,90700.00,95.10,839000.00,15100.00,25.90,-,-,-,-,-,-,3760.00,-,-,-,-,-,-,-,19.40,-,931bb974f6884f12a421e39e5e9da81f,9.84
CFL250x75x20x3.5,CFL,250,75,20,-,3.5,-,-,-,-,-,1450.00,13000000.00,104000.00,94.70,948000.00,17000.00,25.60,-,-,-,-,-,-,5920.00,-,-,-,-,-,-,-,19.40,-,d3f51bc6851d46ad8e1b909dd96d0404,11.40
CFL250x75x20x4.5,CFL,250,75,20,-,4.5,-,-,-,-,-,1830.00,16100000.00,129000.00,93.90,1140000.00,20400.00,24.90,-,-,-,-,-,-,12300.00,-,-,-,-,-,-,-,19.30,-,6e689efc7b4e4d10893c2a953aca4e5f,14.40
CFL250x100x20x2.5,CFL,250,100,20,-,2.5,-,-,-,-,-,1180.00,11500000.00,92200.00,98.90,1470000.00,20500.00,35.30,-,-,-,-,-,-,2460.00,-,-,-,-,-,-,-,28.30,-,131c5ecbfd3f487d9646d478535c1491,9.25
CFL250x100x20x3.0,CFL,250,100,20,-,3.0,-,-,-,-,-,1400.00,13600000.00,109000.00,98.50,1720000.00,24000.00,35.00,-,-,-,-,-,-,4210.00,-,-,-,-,-,-,-,28.20,-,a7cdc256e93545369981973d0bead637,11.00
CFL250x100x20x3.5,CFL,250,100,20,-,3.5,-,-,-,-,-,1620.00,15600000.00,125000.00,98.20,1950000.00,27200.00,34.70,-,-,-,-,-,-,6630.00,-,-,-,-,-,-,-,28.20,-,7acebb810e0444138a89470166400f8d,12.70
CFL250x100x20x4.5,CFL,250,100,20,-,4.5,-,-,-,-,-,2050.00,19500000.00,156000.00,97.40,2380000.00,33000.00,34.00,-,-,-,-,-,-,13900.00,-,-,-,-,-,-,-,28.00,-,238e3558e0704ec1ac0cf6b0ff77ca8b,16.10
CFL275x65x20x2.0,CFL,275,65,20,-,2.0,-,-,-,-,-,860.00,9060000.00,65900.00,103.00,432000.00,8690.00,22.40,-,-,-,-,-,-,1150.00,-,-,-,-,-,-,-,15.30,-,f985af995e1142679e9417be606b403d,6.75
CFL275x65x20x2.5,CFL,275,65,20,-,2.5,-,-,-,-,-,1070.00,11100000.00,80900.00,102.00,521000.00,10500.00,22.10,-,-,-,-,-,-,2220.00,-,-,-,-,-,-,-,15.30,-,fa412d466fa34c3c90cde64612861c1d,8.37
CFL275x65x20x3.0,CFL,275,65,20,-,3.0,-,-,-,-,-,1270.00,13100000.00,95400.00,102.00,603000.00,12100.00,21.80,-,-,-,-,-,-,3800.00,-,-,-,-,-,-,-,15.30,-,7426fd36049946ab8cfa1d8f664c7240,9.95
CFL275x75x20x2.5,CFL,275,75,20,-,2.5,-,-,-,-,-,1120.00,12100000.00,87700.00,104.00,741000.00,13100.00,25.80,-,-,-,-,-,-,2330.00,-,-,-,-,-,-,-,18.40,-,d4be270927f7488fb2c51afeae142a36,8.76
CFL275x75x20x3.0,CFL,275,75,20,-,3.0,-,-,-,-,-,1330.00,14200000.00,103000.00,104.00,861000.00,15200.00,25.50,-,-,-,-,-,-,3980.00,-,-,-,-,-,-,-,18.40,-,5165fc51b320401993d1cae56b2dc1fc,10.40
CFL275x75x20x3.5,CFL,275,75,20,-,3.5,-,-,-,-,-,1540.00,16300000.00,119000.00,103.00,971000.00,17100.00,25.10,-,-,-,-,-,-,6270.00,-,-,-,-,-,-,-,18.40,-,e3c5ed19954b4cb4b7edbf2473419130,12.10
CFL275x100x20x2.5,CFL,275,100,20,-,2.5,-,-,-,-,-,1240.00,14400000.00,105000.00,108.00,1510000.00,20700.00,34.90,-,-,-,-,-,-,2590.00,-,-,-,-,-,-,-,26.90,-,035dc7bc843a4d59898f3327dbd0e337,9.74
CFL275x100x20x3.0,CFL,275,100,20,-,3.0,-,-,-,-,-,1480.00,17000000.00,124000.00,107.00,1770000.00,24200.00,34.60,-,-,-,-,-,-,4430.00,-,-,-,-,-,-,-,26.90,-,6c5e203cad114396a51d8fafc48bb5c1,11.60
CFL275x100x20x3.5,CFL,275,100,20,-,3.5,-,-,-,-,-,1710.00,19600000.00,142000.00,107.00,2010000.00,27500.00,34.30,-,-,-,-,-,-,6990.00,-,-,-,-,-,-,-,26.80,-,0f831bd0aa4c4e5abd0a05c5f67d2eb1,13.40
CFL275x100x20x4.5,CFL,275,100,20,-,4.5,-,-,-,-,-,2170.00,24400000.00,177000.00,106.00,2450000.00,33400.00,33.60,-,-,-,-,-,-,14600.00,-,-,-,-,-,-,-,26.70,-,8d61adf39b094db4a81576b7c64ed776,17.00
CFL300x65x20x2.5,CFL,300,65,20,-,2.5,-,-,-,-,-,1130.00,13700000.00,91600.00,110.00,530000.00,10500.00,21.70,-,-,-,-,-,-,2350.00,-,-,-,-,-,-,-,14.50,-,6cb8ecb4e15e4a729a45729383738d6c,8.86
CFL300x65x20x3.0,CFL,300,65,20,-,3.0,-,-,-,-,-,1340.00,16200000.00,108000.00,110.00,620000.00,12200.00,21.40,-,-,-,-,-,-,4030.00,-,-,-,-,-,-,-,14.50,-,2b4484932307458bbffd42777e9ca6c6,10.50
CFL300x65x20x3.5,CFL,300,65,20,-,3.5,-,-,-,-,-,1550.00,18600000.00,124000.00,109.00,690000.00,13700.00,21.10,-,-,-,-,-,-,6340.00,-,-,-,-,-,-,-,14.50,-,826bbd21de4246ee8d7b07d61cbd48c3,12.20
CFL300x75x20x2.5,CFL,300,75,20,-,2.5,-,-,-,-,-,1180.00,14900000.00,99000.00,112.00,760000.00,13200.00,25.40,-,-,-,-,-,-,2460.00,-,-,-,-,-,-,-,17.50,-,e2335e10ef7b412aae75c4c8440bec5d,9.25
CFL300x75x20x3.0,CFL,300,75,20,-,3.0,-,-,-,-,-,1400.00,17500000.00,117000.00,112.00,880000.00,15300.00,25.10,-,-,-,-,-,-,4210.00,-,-,-,-,-,-,-,17.50,-,e778d6b4e22740e5941c0179d0fa7562,11.00
CFL300x75x20x3.5,CFL,300,75,20,-,3.5,-,-,-,-,-,1620.00,20100000.00,134000.00,111.00,990000.00,17300.00,24.70,-,-,-,-,-,-,6630.00,-,-,-,-,-,-,-,17.50,-,4c4f07e9db81400f93811ac8b9530d70,12.70
CFL300x75x20x4.5,CFL,300,75,20,-,4.5,-,-,-,-,-,2050.00,25100000.00,167000.00,110.00,1190000.00,20700.00,24.10,-,-,-,-,-,-,13900.00,-,-,-,-,-,-,-,17.40,-,81a89351c6fc471fbaea630db647ff7f,16.10
CFL300x100x20x2.5,CFL,300,100,20,-,2.5,-,-,-,-,-,1300.00,17600000.00,117000.00,116.00,1550000.00,20900.00,34.50,-,-,-,-,-,-,2720.00,-,-,-,-,-,-,-,25.70,-,baa063a7dbc74d699b2341014f7b67a4,10.20
CFL300x100x20x3.0,CFL,300,100,20,-,3.0,-,-,-,-,-,1550.00,20900000.00,139000.00,116.00,1820000.00,24400.00,34.20,-,-,-,-,-,-,4660.00,-,-,-,-,-,-,-,25.60,-,acc7fb77683743a5bdfbe70e57a7b805,12.20
CFL300x100x20x3.5,CFL,300,100,20,-,3.5,-,-,-,-,-,1800.00,24000000.00,160000.00,115.00,2060000.00,27700.00,33.90,-,-,-,-,-,-,7350.00,-,-,-,-,-,-,-,25.60,-,d701633b0bad4efebad6184f6292cd53,14.10
CFL300x100x20x4.5,CFL,300,100,20,-,4.5,-,-,-,-,-,2280.00,30000000.00,200000.00,115.00,2510000.00,33700.00,33.20,-,-,-,-,-,-,15400.00,-,-,-,-,-,-,-,25.50,-,7cfc8b1abed04d64a85c82117253b0a1,17.90
CFZ100x50x20x2.0,CFZ,100,50,20,-,2.0,-,-,-,-,-,450.00,705000.00,14100.00,39.60,307000.00,6260.00,26.10,-,-,-,-,-,-,600.00,-,14900.00,-,-,-,-,-,-,-,4ee52fc4d8414f9f9e35a9f0b84f40cf,3.53
CFZ100x50x20x2.5,CFZ,100,50,20,-,2.5,-,-,-,-,-,554.00,854000.00,17100.00,39.30,366000.00,7500.00,25.70,-,-,-,-,-,-,1150.00,-,14700.00,-,-,-,-,-,-,-,e4659b1ecb75446c84d6aeea7e14c3e4,4.35
